dataset,model,reference_group,target_group,target_split,alignment,probe_layer,trial,trial_std,clean_accuracy,clean_accuracy_std,drift_accuracy,drift_accuracy_std,accuracy_drop,accuracy_drop_std,ks_threshold,ks_threshold_std,mmd_threshold,mmd_threshold_std,group_size,group_size_std,layer1_ks_mean,layer1_ks_mean_std,layer1_ks_max,layer1_ks_max_std,layer1_mmd,layer1_mmd_std,layer2_ks_mean,layer2_ks_mean_std,layer2_ks_max,layer2_ks_max_std,layer2_mmd,layer2_mmd_std,layer3_ks_mean,layer3_ks_mean_std,layer3_ks_max,layer3_ks_max_std,layer3_mmd,layer3_mmd_std,layer4_ks_mean,layer4_ks_mean_std,layer4_ks_max,layer4_ks_max_std,layer4_mmd,layer4_mmd_std,ks_mean,ks_mean_std,ks_max,ks_max_std,pvalue_mean,pvalue_mean_std,mmd,mmd_std,features.3_ks_mean,features.3_ks_mean_std,features.3_ks_max,features.3_ks_max_std,features.3_mmd,features.3_mmd_std,features.4_ks_mean,features.4_ks_mean_std,features.4_ks_max,features.4_ks_max_std,features.4_mmd,features.4_mmd_std,features.6_ks_mean,features.6_ks_mean_std,features.6_ks_max,features.6_ks_max_std,features.6_mmd,features.6_mmd_std,features.8_ks_mean,features.8_ks_mean_std,features.8_ks_max,features.8_ks_max_std,features.8_mmd,features.8_mmd_std
waterbirds,ResNet-50,val_matched,test_waterbird_land,test,mismatched,layer4,0.5,0.5,0.96,0.013333333333333364,0.42,0.0,0.54,0.01333333333333342,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.12143229166666666,0.0010677083333333337,0.22,0.013333333333333336,0.1148943267762661,0.008442852646112442,0.11515625,0.005781250000000002,0.2533333333333333,0.01999999999999999,0.11070533096790314,0.002560131251811981,0.11606770833333332,0.0023697916666666693,0.24666666666666665,0.026666666666666658,0.1021137423813343,0.0031009502708911896,0.15666666666666668,0.004322916666666676,0.4033333333333333,0.003333333333333327,0.1970386803150177,0.006502285599708557,0.15666666666666668,0.004322916666666676,0.4033333333333333,0.003333333333333327,0.25569761049081774,0.013225426366572715,0.1970386803150177,0.006502285599708557,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,ResNet-50,val_matched,test_waterbird_water,test,matched,layer4,0.5,0.5,0.96,0.013333333333333364,0.9066666666666667,0.04666666666666669,0.053333333333333344,0.06000000000000005,0.19114990234375,0.004028320312499986,0.15957336649298667,0.0017089560627937261,150.0,0.0,0.30632812499999995,0.006067708333333338,0.6433333333333333,0.0033333333333332993,0.3890361189842224,0.0029136836528778076,0.26544270833333333,0.00101562500000002,0.5833333333333334,0.010000000000000009,0.3368448466062546,0.0013245493173599243,0.21419270833333334,0.001953125,0.5866666666666667,0.033333333333333326,0.2789447158575058,0.008659973740577698,0.19447916666666665,0.0031770833333333304,0.5233333333333333,0.010000000000000009,0.26511819660663605,0.0031538158655166626,0.19447916666666665,0.0031770833333333304,0.5233333333333333,0.010000000000000009,0.19255373051619615,0.02417983569289303,0.26511819660663605,0.0031538158655166626,,,,,,,,,,,,,,,,,,,,,,,,
waterbirds,EfficientNet-B0,val_matched,val_matched,val,matched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.9833333333333334,0.003333333333333355,-0.016666666666666663,0.003333333333333355,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.081484375,0.0011197916666666682,0.18333333333333335,0.02333333333333333,0.6946905830413472,0.013814032018057976,0.05871979892253876,0.00023295730352401733,0.08475000000000002,0.0025833333333333333,0.13666666666666666,0.003333333333333341,0.059351349249482155,0.005425555631518364,0.08558333333333334,0.005333333333333336,0.16333333333333333,0.010000000000000009,0.06043427810072899,0.008226986974477768,0.08427083333333332,0.0028125000000000025,0.15666666666666668,0.003333333333333341,0.06112741678953171,0.004708215594291687,0.081484375,0.0011197916666666682,0.18333333333333335,0.02333333333333333,0.05871979892253876,0.00023295730352401733
waterbirds,EfficientNet-B0,val_matched,val_mismatched,val,mismatched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.48333333333333334,0.04999999999999999,0.48333333333333334,0.04333333333333328,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.136328125,0.003671875000000019,0.39666666666666667,0.043333333333333335,0.3154525593468274,0.018854374191272727,0.1316278837621212,0.008585367351770401,0.22716666666666668,0.014833333333333323,0.51,0.03666666666666665,0.33565525710582733,0.03223864734172821,0.20591666666666664,0.008583333333333346,0.4666666666666667,0.04000000000000001,0.2917322665452957,0.02314119040966034,0.17296875,0.00854166666666667,0.39,0.043333333333333335,0.21247491240501404,0.014281138777732849,0.136328125,0.003671875000000019,0.39666666666666667,0.043333333333333335,0.1316278837621212,0.008585367351770401
waterbirds,EfficientNet-B0,val_matched,test_matched,test,matched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.95,0.003333333333333355,0.016666666666666663,0.003333333333333355,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.096796875,0.0005989583333333298,0.17666666666666667,0.003333333333333327,0.5337529688943459,0.0018113457494815521,0.07492848113179207,0.0014247186481952667,0.09441666666666668,0.001083333333333332,0.15000000000000002,0.009999999999999995,0.0717633068561554,0.002615891396999359,0.096625,0.001208333333333339,0.17666666666666667,0.003333333333333327,0.07297751680016518,0.00012863799929618835,0.09565104166666667,0.0031510416666666735,0.15999999999999998,0.006666666666666668,0.07050522416830063,0.0027695074677467346,0.096796875,0.0005989583333333298,0.17666666666666667,0.003333333333333327,0.07492848113179207,0.0014247186481952667
waterbirds,EfficientNet-B0,val_matched,test_mismatched,test,mismatched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.55,0.043333333333333335,0.41666666666666663,0.036666666666666625,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.130859375,0.001953125,0.37,0.010000000000000009,0.3444564255662447,0.01394597240083617,0.13159429281949997,4.544854164123535e-07,0.2219166666666667,0.008083333333333331,0.51,0.010000000000000009,0.32420557737350464,0.011968344449996948,0.19724999999999998,0.0014166666666666772,0.4666666666666667,0.006666666666666654,0.27963021397590637,0.008312523365020752,0.16723958333333333,0.002864583333333337,0.42,0.026666666666666672,0.20041269809007645,0.006491266191005707,0.130859375,0.001953125,0.37,0.010000000000000009,0.13159429281949997,4.544854164123535e-07
waterbirds,EfficientNet-B0,val_matched,val_landbird_land,val,matched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.9833333333333334,0.003333333333333355,-0.016666666666666663,0.010000000000000064,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.09088541666666666,0.004843750000000008,0.21666666666666667,0.016666666666666663,0.6109228470010135,0.043156520512682206,0.07879414409399033,0.004087910056114197,0.10016666666666668,0.0008333333333333318,0.18666666666666665,0.020000000000000004,0.11122770607471466,0.0031734779477119446,0.100625,0.0028750000000000026,0.21000000000000002,0.009999999999999995,0.09999803453683853,0.0019598379731178284,0.09567708333333333,0.0013020833333333356,0.2,0.0,0.08917823806405067,0.00047956034541130066,0.09088541666666666,0.004843750000000008,0.21666666666666667,0.016666666666666663,0.07879414409399033,0.004087910056114197
waterbirds,EfficientNet-B0,val_matched,val_landbird_water,val,mismatched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.5766666666666667,0.0033333333333332993,0.39,0.0033333333333334103,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.14950520833333333,0.0006510416666666574,0.44333333333333336,0.016666666666666663,0.25080453169973205,0.003217418642196726,0.16211140155792236,0.00904633104801178,0.2555,0.007666666666666655,0.6399999999999999,0.006666666666666654,0.4104135036468506,0.019673466682434082,0.23445833333333332,0.005625000000000019,0.5633333333333334,0.030000000000000027,0.3549719899892807,0.015513971447944641,0.19765624999999998,0.003229166666666672,0.48333333333333334,0.03666666666666668,0.254062294960022,0.005276888608932495,0.14950520833333333,0.0006510416666666574,0.44333333333333336,0.016666666666666663,0.16211140155792236,0.00904633104801178
waterbirds,EfficientNet-B0,val_matched,val_waterbird_land,val,mismatched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.37593984962406013,0.11278195488721804,0.5907268170426065,0.10611528822055136,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,133.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.14236450501253134,0.0010079887218045203,0.3479699248120301,0.0054636591478696706,0.30101708585462117,0.005646215703210666,0.14974045753479004,0.00032998621463775635,0.11087218045112782,0.003151629072681704,0.1931578947368421,0.0016791979949874747,0.1187686137855053,0.0062285251915454865,0.10673245614035089,0.0004323308270676729,0.2011528822055138,0.006015037593984959,0.10256217792630196,0.0018666721880435944,0.1271751644736842,0.0018379934210526194,0.35406015037593985,0.010852130325814557,0.12121227011084557,0.0009195469319820404,0.14236450501253134,0.0010079887218045203,0.3479699248120301,0.0054636591478696706,0.14974045753479004,0.00032998621463775635
waterbirds,EfficientNet-B0,val_matched,val_waterbird_water,val,matched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.9135338345864661,0.026315789473684237,0.05313283208020053,0.019649122807017527,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,133.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1824579025689223,0.0027825422932330757,0.4987719298245614,0.003333333333333327,0.16913598281410286,0.013800967155862542,0.21813055872917175,0.0004411637783050537,0.25726817042606515,0.0023070175438596463,0.6538095238095238,0.0024812030075188063,0.419142484664917,0.00466763973236084,0.24250187969924814,0.0009411027568922564,0.550125313283208,0.005463659147869726,0.3704289346933365,0.0022341161966323853,0.20237409931077693,0.0010720159774436216,0.47025062656641603,0.005187969924812019,0.2800960838794708,0.0002913177013397217,0.1824579025689223,0.0027825422932330757,0.4987719298245614,0.003333333333333327,0.21813055872917175,0.0004411637783050537
waterbirds,EfficientNet-B0,val_matched,test_landbird_land,test,matched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.98,0.013333333333333308,-0.013333333333333308,0.020000000000000018,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.10953125,0.003229166666666665,0.2833333333333333,0.023333333333333317,0.43502316792529017,0.02881941905268051,0.0917903371155262,0.0032308734953403473,0.11308333333333334,0.0005833333333333315,0.2,0.013333333333333336,0.11271032318472862,0.0003154464066028595,0.107375,0.0008750000000000008,0.2,0.013333333333333336,0.10020886734127998,0.002227839082479477,0.10682291666666666,0.002656250000000006,0.22666666666666668,0.006666666666666668,0.08858965337276459,0.0018478929996490479,0.10953125,0.003229166666666665,0.2833333333333333,0.023333333333333317,0.0917903371155262,0.0032308734953403473
waterbirds,EfficientNet-B0,val_matched,test_landbird_water,test,mismatched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.5533333333333333,0.05999999999999997,0.41333333333333333,0.05333333333333326,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.15302083333333333,0.004270833333333335,0.43666666666666665,0.003333333333333327,0.25227050033982856,0.005331354023260598,0.16160918772220612,0.0015355795621871948,0.27341666666666664,0.0029166666666666508,0.64,0.020000000000000018,0.4251028299331665,0.0015788674354553223,0.24383333333333335,0.0036666666666666514,0.6033333333333333,0.009999999999999953,0.3710673302412033,0.002629116177558899,0.20380208333333333,5.20833333333276e-05,0.48,0.01999999999999999,0.26655715703964233,0.004043638706207275,0.15302083333333333,0.004270833333333335,0.43666666666666665,0.003333333333333327,0.16160918772220612,0.0015355795621871948
waterbirds,EfficientNet-B0,val_matched,test_waterbird_land,test,mismatched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.33999999999999997,0.13333333333333333,0.6266666666666667,0.12666666666666665,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.139921875,0.0022656249999999933,0.33999999999999997,0.01999999999999999,0.31861306772081643,0.012913587435152724,0.15397372096776962,0.00295305997133255,0.11358333333333334,0.004583333333333335,0.21666666666666667,0.003333333333333327,0.12001765891909599,0.007041994482278824,0.10745833333333335,0.0025416666666666643,0.2,0.0,0.10756950452923775,0.00425330176949501,0.12513020833333333,0.0037239583333333326,0.30333333333333334,0.003333333333333327,0.12310941517353058,0.003318190574645996,0.139921875,0.0022656249999999933,0.33999999999999997,0.01999999999999999,0.15397372096776962,0.00295305997133255
waterbirds,EfficientNet-B0,val_matched,test_waterbird_water,test,matched,features.8,0.5,0.5,0.9666666666666667,0.00666666666666671,0.89,0.010000000000000009,0.07666666666666666,0.01666666666666672,0.19348754882812502,0.0029479980468749972,0.15467893108725547,0.0014327511191368214,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.18263020833333332,0.0057031249999999895,0.4766666666666667,0.003333333333333327,0.18032215717156508,0.009925560664242702,0.2125840187072754,0.00519406795501709,0.27258333333333334,0.0022500000000000298,0.6066666666666667,0.026666666666666672,0.4170282483100891,0.001913517713546753,0.243,0.0014166666666666633,0.5633333333333334,0.010000000000000009,0.36424145102500916,0.0005476176738739014,0.20033854166666665,0.0010677083333333198,0.4966666666666667,0.003333333333333327,0.2684098333120346,0.0035877972841262817,0.18263020833333332,0.0057031249999999895,0.4766666666666667,0.003333333333333327,0.2125840187072754,0.00519406795501709
