dataset,model,trial,reference_group,target_group,target_split,alignment,clean_accuracy,drift_accuracy,accuracy_drop,probe_layer,ks_threshold,mmd_threshold,group_size,layer1_ks_mean,layer1_ks_max,layer1_mmd,layer2_ks_mean,layer2_ks_max,layer2_mmd,layer3_ks_mean,layer3_ks_max,layer3_mmd,layer4_ks_mean,layer4_ks_max,layer4_mmd,ks_mean,ks_max,pvalue_mean,mmd,ks_alert,mmd_alert,features.3_ks_mean,features.3_ks_max,features.3_mmd,features.4_ks_mean,features.4_ks_max,features.4_mmd,features.6_ks_mean,features.6_ks_max,features.6_mmd,features.8_ks_mean,features.8_ks_max,features.8_mmd
waterbirds,ResNet-50,0,val_matched,test_waterbird_land,test,mismatched,0.9466666666666667,0.42,0.5266666666666666,layer4,0.18712158203125,0.15786441043019295,150,0.1225,0.20666666666666667,0.12333717942237854,0.1209375,0.2733333333333333,0.11326546221971512,0.1184375,0.2733333333333333,0.1052146926522255,0.15234375,0.4066666666666667,0.19053639471530914,0.15234375,0.4066666666666667,0.26892303685739044,0.19053639471530914,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_waterbird_water,test,matched,0.9466666666666667,0.9533333333333334,-0.00666666666666671,layer4,0.18712158203125,0.15786441043019295,150,0.3123958333333333,0.6466666666666666,0.3919498026371002,0.2644270833333333,0.5933333333333334,0.33552029728889465,0.21614583333333334,0.62,0.2876046895980835,0.19130208333333332,0.5333333333333333,0.2619643807411194,0.19130208333333332,0.5333333333333333,0.21673356620908918,0.2619643807411194,True,True,,,,,,,,,,,,
waterbirds,EfficientNet-B0,0,val_matched,val_matched,val,matched,0.96,0.98,-0.020000000000000018,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.08260416666666667,0.16,0.6808765510232893,0.058952756226062775,False,False,0.08733333333333335,0.14,0.06477690488100052,0.09091666666666667,0.15333333333333332,0.06866126507520676,0.08708333333333333,0.16,0.0658356323838234,0.08260416666666667,0.16,0.058952756226062775
waterbirds,EfficientNet-B0,0,val_matched,val_mismatched,val,mismatched,0.96,0.43333333333333335,0.5266666666666666,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.13265624999999998,0.35333333333333333,0.33430693353810015,0.1230425164103508,False,False,0.21233333333333335,0.47333333333333333,0.3034166097640991,0.1973333333333333,0.4266666666666667,0.2685910761356354,0.16442708333333333,0.3466666666666667,0.1981937736272812,0.13265624999999998,0.35333333333333333,0.1230425164103508
waterbirds,EfficientNet-B0,0,val_matched,test_matched,test,matched,0.96,0.9466666666666667,0.013333333333333308,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.09739583333333333,0.18,0.5319416231448644,0.0735037624835968,False,False,0.09333333333333334,0.14,0.06914741545915604,0.09783333333333334,0.17333333333333334,0.07310615479946136,0.09880208333333335,0.16666666666666666,0.07327473163604736,0.09739583333333333,0.18,0.0735037624835968
waterbirds,EfficientNet-B0,0,val_matched,test_mismatched,test,mismatched,0.96,0.5066666666666667,0.45333333333333325,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.1328125,0.36,0.3305104531654085,0.13159474730491638,False,False,0.23000000000000004,0.52,0.3361739218235016,0.1958333333333333,0.46,0.2879427373409271,0.17010416666666667,0.3933333333333333,0.20690396428108215,0.1328125,0.36,0.13159474730491638
waterbirds,EfficientNet-B0,0,val_matched,val_landbird_land,val,matched,0.96,0.9866666666666667,-0.026666666666666727,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.08604166666666666,0.2,0.6540793675136958,0.07470623403787613,False,False,0.09933333333333334,0.20666666666666667,0.1144011840224266,0.10350000000000001,0.22,0.10195787250995636,0.09697916666666667,0.2,0.08869867771863937,0.08604166666666666,0.2,0.07470623403787613
waterbirds,EfficientNet-B0,0,val_matched,val_landbird_water,val,mismatched,0.96,0.5733333333333334,0.3866666666666666,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.14885416666666668,0.4266666666666667,0.2475871130575353,0.15306507050991058,False,False,0.24783333333333335,0.6333333333333333,0.3907400369644165,0.2288333333333333,0.5333333333333333,0.33945801854133606,0.1944270833333333,0.44666666666666666,0.24878540635108948,0.14885416666666668,0.4266666666666667,0.15306507050991058
waterbirds,EfficientNet-B0,0,val_matched,val_waterbird_land,val,mismatched,0.96,0.2631578947368421,0.6968421052631579,features.8,0.196435546875,0.1561116822063923,133,,,,,,,,,,,,,0.14337249373433586,0.3425062656641604,0.2953708701514105,0.14941047132015228,False,False,0.11402380952380953,0.1948370927318296,0.12499713897705078,0.10630012531328321,0.19513784461152883,0.10442885011434555,0.12901315789473683,0.3432080200501253,0.1221318170428276,0.14337249373433586,0.3425062656641604,0.14941047132015228
waterbirds,EfficientNet-B0,0,val_matched,val_waterbird_water,val,matched,0.96,0.8872180451127819,0.07278195488721806,features.8,0.196435546875,0.1561116822063923,133,,,,,,,,,,,,,0.18524044486215538,0.5021052631578947,0.15533501565824032,0.2185717225074768,False,True,0.2595751879699248,0.651328320802005,0.41447484493255615,0.24156077694235586,0.5446616541353383,0.3681948184967041,0.20130208333333333,0.47543859649122805,0.2798047661781311,0.18524044486215538,0.5021052631578947,0.2185717225074768
waterbirds,EfficientNet-B0,0,val_matched,test_landbird_land,test,matched,0.96,0.9933333333333333,-0.033333333333333326,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.10630208333333334,0.30666666666666664,0.46384258697797065,0.08855946362018585,False,False,0.1125,0.18666666666666668,0.11239487677812576,0.1065,0.18666666666666668,0.0979810282588005,0.10947916666666667,0.22,0.09043754637241364,0.10630208333333334,0.30666666666666664,0.08855946362018585
waterbirds,EfficientNet-B0,0,val_matched,test_landbird_water,test,mismatched,0.96,0.49333333333333335,0.4666666666666666,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.15729166666666666,0.43333333333333335,0.246939146316568,0.1631447672843933,False,True,0.2763333333333333,0.66,0.4266816973686218,0.2475,0.6133333333333333,0.3736964464187622,0.20385416666666667,0.46,0.2706007957458496,0.15729166666666666,0.43333333333333335,0.1631447672843933
