dataset,model,trial,drift_type,severity,clean_accuracy,drift_accuracy,accuracy_drop,probe_layer,ks_threshold,mmd_threshold,layer1_ks_mean,layer1_ks_max,layer1_mmd,layer2_ks_mean,layer2_ks_max,layer2_mmd,layer3_ks_mean,layer3_ks_max,layer3_mmd,layer4_ks_mean,layer4_ks_max,layer4_mmd,ks_mean,ks_max,pvalue_mean,mmd,ks_alert,mmd_alert,features.3_ks_mean,features.3_ks_max,features.3_mmd,features.4_ks_mean,features.4_ks_max,features.4_mmd,features.6_ks_mean,features.6_ks_max,features.6_mmd,features.8_ks_mean,features.8_ks_max,features.8_mmd
cifar10,ResNet-50,1,brightness_shift,low,0.78,0.76,0.020000000000000018,layer4,0.189215087890625,0.14913556054234506,0.17747395833333332,0.6066666666666667,0.17556342482566833,0.11572916666666666,0.58,0.1540583372116089,0.07489583333333333,0.44666666666666666,0.09876084327697754,0.06891927083333334,0.22666666666666666,0.04512970894575119,0.06891927083333334,0.22666666666666666,0.8165212692866216,0.04512970894575119,False,False,,,,,,,,,,,,
cifar10,ResNet-50,1,brightness_shift,medium,0.78,0.7466666666666667,0.033333333333333326,layer4,0.189215087890625,0.14913556054234506,0.3178385416666667,0.7466666666666667,0.3615373969078064,0.18489583333333331,0.7866666666666666,0.26599520444869995,0.10887369791666666,0.7866666666666666,0.18007849156856537,0.10224609374999999,0.46,0.09030365198850632,0.10224609374999999,0.46,0.5162331232523679,0.09030365198850632,False,False,,,,,,,,,,,,
cifar10,ResNet-50,1,brightness_shift,high,0.78,0.7,0.08000000000000007,layer4,0.189215087890625,0.14913556054234506,0.5101302083333333,0.9666666666666667,0.6236189603805542,0.29432291666666666,0.92,0.4319843351840973,0.15975911458333336,0.9466666666666667,0.2918831706047058,0.15892578125,0.7866666666666666,0.17341890931129456,0.15892578125,0.7866666666666666,0.2431669998418196,0.17341890931129456,False,True,,,,,,,,,,,,
cifar10,EfficientNet-B0,1,gaussian_noise,low,0.8266666666666667,0.7466666666666667,0.07999999999999996,features.8,0.193111572265625,0.15746828764677048,,,,,,,,,,,,,0.21886979166666665,1.0,0.15852013747730376,0.36762940883636475,True,True,0.5431666666666667,1.0,0.8181235790252686,0.47000000000000003,1.0,0.6939265727996826,0.3095833333333333,0.9666666666666667,0.5035833716392517,0.21886979166666665,1.0,0.36762940883636475
cifar10,EfficientNet-B0,1,gaussian_noise,medium,0.8266666666666667,0.6333333333333333,0.19333333333333336,features.8,0.193111572265625,0.15746828764677048,,,,,,,,,,,,,0.2517760416666667,1.0,0.0842501549189561,0.39235517382621765,True,True,0.6465,1.0,0.8508603572845459,0.5391666666666667,1.0,0.7454661130905151,0.32680555555555557,0.9733333333333334,0.5148026943206787,0.2517760416666667,1.0,0.39235517382621765
cifar10,EfficientNet-B0,1,gaussian_noise,high,0.8266666666666667,0.30666666666666664,0.52,features.8,0.193111572265625,0.15746828764677048,,,,,,,,,,,,,0.4296093749999999,1.0,0.011209154169098835,0.508003294467926,True,True,0.6456666666666667,1.0,0.8735969066619873,0.5535833333333333,1.0,0.7810462713241577,0.4004513888888889,0.9866666666666667,0.5930971503257751,0.4296093749999999,1.0,0.508003294467926
cifar10,EfficientNet-B0,1,motion_blur,low,0.8266666666666667,0.8533333333333334,-0.026666666666666727,features.8,0.193111572265625,0.15746828764677048,,,,,,,,,,,,,0.10117708333333333,0.24666666666666667,0.4991567596594145,0.0747971311211586,False,False,0.18166666666666664,0.4266666666666667,0.19083459675312042,0.22808333333333328,0.7,0.29580414295196533,0.14149305555555555,0.38,0.1575106382369995,0.10117708333333333,0.24666666666666667,0.0747971311211586
cifar10,EfficientNet-B0,1,motion_blur,medium,0.8266666666666667,0.8,0.026666666666666616,features.8,0.193111572265625,0.15746828764677048,,,,,,,,,,,,,0.12341666666666669,0.3466666666666667,0.34877391602267266,0.11051618307828903,False,False,0.1975,0.48,0.22535991668701172,0.24900000000000003,0.7333333333333333,0.32398849725723267,0.17694444444444446,0.42,0.21239224076271057,0.12341666666666669,0.3466666666666667,0.11051618307828903
cifar10,EfficientNet-B0,1,motion_blur,high,0.8266666666666667,0.7333333333333333,0.09333333333333338,features.8,0.193111572265625,0.15746828764677048,,,,,,,,,,,,,0.13790104166666667,0.3933333333333333,0.287978829642789,0.13735248148441315,False,False,0.2033333333333333,0.52,0.2546345889568329,0.25133333333333335,0.76,0.3267885744571686,0.18923611111111113,0.4533333333333333,0.240153968334198,0.13790104166666667,0.3933333333333333,0.13735248148441315
cifar10,EfficientNet-B0,1,brightness_shift,low,0.8266666666666667,0.8333333333333334,-0.00666666666666671,features.8,0.193111572265625,0.15746828764677048,,,,,,,,,,,,,0.0560625,0.13333333333333333,0.9302405047696748,0.02727172151207924,False,False,0.12583333333333332,0.23333333333333334,0.1330443173646927,0.10425,0.26,0.10439174622297287,0.06600694444444445,0.14666666666666667,0.04625675827264786,0.0560625,0.13333333333333333,0.02727172151207924
